code	final_analysis	n_cells	reference_identity	status	action	note
45	IgApos plasma	111865				
89	Non ileal undiff enterocyte	71446				
82	Non ileal TA	66406				
76	Non ileal CT colonocyte	43387				
2	Arterial endothelium	39146				
80	Non ileal LGR5pos stem	33568				
85	Non ileal enterocyte PLCG2hi	31000				
55	Ileal enterocyte	28182				
68	Memory B	27788				
1	ABCA8pos WNT2Bpos FOSlo fibroblast	25444				
11	CD4 FOSpos T	19718				
27	CD8 IL7Rhi T	19687				
10	CD4 FOShi T	19508				
47	IgGpos CXCR4hi plasma	16859				
21	CD4 naive T	15590				
104	Venous endothelium	15564				
86	Non ileal goblet	15413				
94	SOX6pos POSTNpos fibroblast	14934				
40	Glia	14783				
83	Non ileal enterocyte DUOXA2pos	13585				
101	Th22	13268				
75	Non ileal BEST4 OTOP2	12555				
32	CD74hi HLADRB1hi arterial pericyte	12546				
0	ABCA8pos WNT2Bpos FOShi fibroblast	12244				
25	CD8 GZMKhi T	11952				
38	Follicular B	11559				
103	Tph Tfh CXCL13pos	9061				
6	C3hi RSPO3pos fibroblast	9006				
102	Tph Tfh	8516				
74	NOTCH3hi TNClo pericyte	8455				
26	CD8 GZMKint T	7646				
17	CD4 KLF2hi T	7441				
48	IgGpos CXCR4lo plasma	6975				
15	CD4 IKZF2hi TNFRSF18lo Treg	6546				
9	CD1Chi DC	6466				
23	CD8 EGR1hi T	6181				
16	CD4 IKZF2lo LAG3pos Treg	6159				
18	CD4 KLF2int T	6141				
92	S100A8 A9hi mono	6050				
100	Th17	6027				
14	CD4 IKZF2hi TNFRSF18hi Treg	5809				
62	Intermediate B	5801				
31	CD8 naive	5638				
54	Ileal TA	4972				
90	Plasmablast	4896				
34	Cycling B	4783				
93	SOX6pos POSTNpos NRG1hi NPYpos fibroblast	4747				
98	Th1 17 GZMAhi	4622				
70	NK	4367				
84	Non ileal enterocyte DUOXA2pos CXCL11pos	4329				
37	FCRL4pos memory B	4296				
3	C1Qhi IL1Bhi macro	4255				
4	C1Qhi IL1Blo macro	4220				
52	Ileal LGR5pos stem	4100				
71	NOTCH3hi MYH11pos pericyte	4035				
67	Mast	3968				
69	Myofibroblast	3710				
77	Non ileal EEC DDCpos CHGApos	3704				
43	ILC	3680				
99	Th1 17 GZMApos	3600				
58	Ileal enterocyte PLCG2hi	3575				
106	gd SOX4pos T	3572				
53	Ileal RPShi enterocyte	3385				
88	Non ileal tuft	3347				
20	CD4 TWIST1 Treg	3168				
107	gd T	3107				
96	Th1	2956				
24	CD8 FGFBP2pos T	2881				
13	CD4 HSPhi Treg	2819				
28	CD8 IL17Apos IL26pos IL23Rpos T	2690				
19	CD4 TNFSF13Bhi T	2668				
66	MAIT	2547				
78	Non ileal EEC GCGpos PYYpos	2529				
22	CD8 CTLA4hi TIGIThi T	2218				
72	NOTCH3hi TNChi LOXL2pos pericyte	2128				
81	Non ileal M like	2021				
73	NOTCH3hi TNCint CCL19pos pericyte	1989				
56	Ileal enterocyte DUOX2pos LCN2pos	1947				
36	Cycling stroma	1748				
29	CD8 TNFhi IFNGhi IL2pos T	1670				
5	C3hi CCL19pos fibroblast	1640				
95	THY1pos FAPpos PDPNpos fibroblast	1597				
41	IFN resp memory B	1582				
79	Non ileal EEC NEUROG3pos	1413				
44	IgApos IFN resp plasma	1356				
8	CCL22pos memory B	1342				
105	XCR1pos DC	1237				
35	Cycling MNP	1214				
91	S100A8 A9hi TNFhi IL6pos mono	1182				
87	Non ileal paneth	1159				
12	CD4 HSPhi CD70pos Treg	1155				
59	Ileal goblet	985				
39	GClike B	975				
97	Th1 17 22	932				
46	IgGhi IgAhi memory B	889				
63	LAMP3pos DC	796				
108	pDC	768				
64	LAMP3pos IL1Bpos DC	702				
30	CD8 cycling T	684				
7	CCL3pos CCL4pos follicular B	627				
61	Ileal tuft	583				
33	CD74hi HLADRB1hi venous pericyte	578				
65	Lymphatic endothelium	568				
42	IGLC6hi memory B	562				
60	Ileal paneth	556				
50	Ileal EEC CHGAhi CHGBhi	506				
51	Ileal EEC CHGAlo CHGBlo	491				
49	Ileal BEST4 OTOP2	361				
57	Ileal enterocyte DUOX2pos MUC6pos PGCpos	139				
